job,model,dataset,src_layer,tgt_layer,sdc_group,rows,finite_rows,non_finite_rows,non_finite_rate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,9,10,significant_sdc,264,186,78,0.2954545454545454
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,10,11,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,10,11,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,10,11,significant_sdc,264,184,80,0.303030303030303
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,11,12,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,11,12,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,11,12,significant_sdc,264,180,84,0.31818181818181823
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,12,13,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,12,13,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,12,13,significant_sdc,264,172,92,0.3484848484848485
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,13,14,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,13,14,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,13,14,significant_sdc,264,168,96,0.36363636363636365
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,14,15,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,14,15,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,14,15,significant_sdc,264,172,92,0.3484848484848485
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,15,16,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,15,16,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,15,16,significant_sdc,264,169,95,0.35984848484848486
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,16,17,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,16,17,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,16,17,significant_sdc,264,169,95,0.35984848484848486
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,17,18,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,17,18,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,17,18,significant_sdc,264,165,99,0.375
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,18,19,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,18,19,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,18,19,significant_sdc,264,161,103,0.39015151515151514
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,19,20,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,19,20,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,19,20,significant_sdc,264,157,107,0.4053030303030303
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,20,21,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,20,21,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,20,21,significant_sdc,264,154,110,0.41666666666666663
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,21,22,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,21,22,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,21,22,significant_sdc,264,152,112,0.4242424242424242
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,22,23,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,22,23,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,22,23,significant_sdc,264,147,117,0.44318181818181823
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,23,24,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,23,24,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,23,24,significant_sdc,264,144,120,0.4545454545454546
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,24,25,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,24,25,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,24,25,significant_sdc,264,139,125,0.4734848484848485
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,25,26,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,25,26,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,25,26,significant_sdc,264,134,130,0.49242424242424243
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,26,27,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,26,27,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,26,27,significant_sdc,264,126,138,0.5227272727272727
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,0,1,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,0,1,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,0,1,significant_sdc,258,199,59,0.22868217054263562
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,1,2,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,1,2,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,1,2,significant_sdc,258,197,61,0.23643410852713176
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,2,3,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,2,3,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,2,3,significant_sdc,258,196,62,0.24031007751937983
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,3,4,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,3,4,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,3,4,significant_sdc,258,192,66,0.2558139534883721
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,4,5,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,4,5,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,4,5,significant_sdc,258,188,70,0.2713178294573644
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,5,6,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,5,6,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,5,6,significant_sdc,258,184,74,0.28682170542635654
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,6,7,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,6,7,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,6,7,significant_sdc,258,185,73,0.2829457364341085
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,7,8,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,7,8,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,7,8,significant_sdc,258,182,76,0.2945736434108527
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,8,9,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,8,9,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,8,9,significant_sdc,258,181,77,0.29844961240310075
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,9,10,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,9,10,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,9,10,significant_sdc,258,181,77,0.29844961240310075
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,10,11,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,10,11,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,10,11,significant_sdc,258,173,85,0.3294573643410853
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,11,12,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,11,12,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,11,12,significant_sdc,258,171,87,0.33720930232558144
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,12,13,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,12,13,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,12,13,significant_sdc,258,165,93,0.36046511627906974
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,13,14,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,13,14,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,13,14,significant_sdc,258,162,96,0.37209302325581395
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,14,15,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,14,15,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,14,15,significant_sdc,258,160,98,0.3798449612403101
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,15,16,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,15,16,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,15,16,significant_sdc,258,148,110,0.4263565891472868
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,16,17,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,16,17,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,16,17,significant_sdc,258,149,109,0.42248062015503873
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,17,18,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,17,18,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,17,18,significant_sdc,258,141,117,0.4534883720930233
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,18,19,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,18,19,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,18,19,significant_sdc,258,143,115,0.44573643410852715
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,19,20,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,19,20,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,19,20,significant_sdc,258,136,122,0.4728682170542635
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,20,21,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,20,21,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,20,21,significant_sdc,258,133,125,0.4844961240310077
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,21,22,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,21,22,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,21,22,significant_sdc,258,126,132,0.5116279069767442
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,22,23,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,22,23,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,22,23,significant_sdc,258,127,131,0.5077519379844961
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,23,24,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,23,24,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,23,24,significant_sdc,258,125,133,0.5155038759689923
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,24,25,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,24,25,non_significant_sdc,911,911,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,24,25,significant_sdc,258,121,137,0.5310077519379846
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,25,26,non_sdc,6331,6331,0,0.0
qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,25,26,non_significant_sdc,911,911,0,0.0
